iter	Passed	Remaining
409	3909	5625
410	3917	5614
411	3925	5602
412	3934	5591
413	3942	5580
414	3951	5570
415	3959	5558
416	3969	5549
417	3977	5538
418	3986	5527
419	3994	5516
420	4003	5506
421	4012	5495
422	4020	5483
423	4028	5472
424	4036	5461
425	4044	5449
426	4052	5438
427	4060	5426
428	4068	5414
429	4076	5404
430	4084	5392
431	4092	5381
432	4100	5369
433	4110	5360
434	4119	5350
435	4127	5338
436	4135	5328
437	4143	5317
438	4151	5305
439	4159	5294
440	4167	5283
441	4176	5271
442	4184	5261
443	4192	5249
444	4200	5239
445	4209	5228
446	4217	5217
447	4225	5206
448	4234	5195
449	4242	5185
450	4250	5174
451	4259	5163
452	4266	5152
453	4275	5141
454	4282	5130
455	4291	5119
456	4299	5108
457	4307	5097
458	4316	5087
459	4324	5076
460	4332	5065
461	4340	5054
462	4349	5044
463	4357	5033
464	4365	5022
465	4373	5011
466	4381	5001
467	4389	4990
468	4399	4980
469	4408	4971
470	4416	4960
471	4424	4949
472	4432	4938
473	4440	4928
474	4449	4917
475	4457	4906
476	4465	4896
477	4474	4886
478	4482	4875
479	4490	4864
480	4498	4854
481	4506	4843
482	4515	4833
483	4523	4822
484	4532	4813
485	4540	4802
486	4550	4793
487	4558	4782
488	4566	4772
489	4574	4761
490	4582	4750
491	4591	4740
492	4599	4730
493	4608	4720
494	4616	4709
495	4624	4699
496	4633	4689
497	4642	4679
498	4651	4670
499	4663	4663
500	4672	4653
501	4680	4643
502	4688	4632
503	4696	4622
504	4705	4611
505	4713	4601
506	4721	4591
507	4730	4581
508	4738	4570
509	4746	4560
510	4754	4549
511	4762	4539
512	4771	4529
513	4779	4519
514	4787	4508
515	4795	4498
516	4804	4488
517	4812	4477
518	4820	4467
519	4828	4457
520	4837	4447
521	4845	4436
522	4853	4427
523	4862	4417
524	4871	4407
525	4879	4397
526	4887	4386
527	4896	4376
528	4904	4366
529	4912	4356
530	4921	4346
531	4930	4337
532	4939	4327
533	4947	4317
534	4956	4308
535	4964	4297
536	4973	4288
537	4981	4277
538	4990	4267
539	4998	4257
540	5006	4247
541	5014	4237
542	5022	4227
543	5031	4217
544	5041	4209
545	5050	4199
546	5058	4189
547	5066	4179
548	5074	4168
549	5083	4158
550	5091	4148
551	5099	4138
552	5108	4128
553	5116	4118
554	5127	4110
555	5136	4102
556	5145	4092
557	5153	4082
558	5161	4072
559	5169	4061
560	5177	4051
561	5186	4042
562	5194	4031
563	5203	4022
564	5211	4012
565	5219	4002
566	5227	3992
567	5235	3982
568	5244	3972
569	5252	3962
570	5260	3952
571	5269	3942
572	5277	3932
573	5285	3922
574	5294	3913
575	5302	3903
576	5310	3893
577	5318	3883
578	5326	3873
579	5335	3863
580	5343	3853
581	5352	3844
582	5360	3834
583	5368	3824
584	5376	3814
585	5385	3804
586	5393	3794
587	5401	3784
588	5410	3775
589	5418	3765
590	5426	3755
591	5435	3745
592	5443	3736
593	5451	3726
594	5460	3716
595	5468	3706
596	5476	3696
597	5484	3686
598	5492	3677
599	5501	3667
600	5509	3657
601	5517	3647
602	5525	3638
603	5534	3628
604	5542	3618
605	5550	3608
606	5558	3599
607	5567	3589
608	5575	3579
609	5584	3570
610	5592	3560
611	5600	3550
612	5609	3541
613	5617	3531
614	5625	3521
615	5633	3511
616	5642	3502
617	5652	3493
618	5664	3486
619	5672	3476
620	5681	3467
621	5689	3457
622	5697	3447
623	5705	3437
624	5713	3428
625	5721	3418
626	5729	3408
627	5737	3398
628	5745	3389
629	5753	3379
630	5762	3369
631	5770	3359
632	5778	3350
633	5786	3340
634	5794	3330
635	5802	3320
636	5810	3311
637	5819	3302
638	5829	3293
639	5837	3283
640	5845	3273
641	5853	3264
642	5861	3254
643	5869	3244
644	5877	3234
645	5885	3225
646	5893	3215
647	5901	3206
648	5910	3196
649	5917	3186
650	5926	3177
651	5935	3167
652	5943	3158
653	5951	3148
654	5959	3139
655	5967	3129
656	5975	3119
657	5983	3110
658	5991	3100
659	5999	3090
660	6007	3081
661	6016	3071
662	6023	3061
663	6031	3052
664	6039	3042
665	6047	3032
666	6055	3023
667	6064	3013
668	6072	3004
669	6080	2994
670	6088	2985
671	6096	2975
672	6104	2965
673	6115	2957
674	6124	2948
675	6131	2938
676	6139	2929
677	6147	2919
678	6155	2909
679	6163	2900
680	6171	2890
681	6179	2881
682	6187	2871
683	6195	2862
684	6204	2853
685	6212	2843
686	6220	2834
687	6228	2824
688	6236	2815
689	6244	2805
690	6253	2796
691	6261	2786
692	6269	2777
693	6277	2767
694	6285	2758
695	6293	2748
696	6301	2739
697	6309	2729
698	6317	2720
699	6326	2711
700	6334	2701
701	6342	2692
702	6350	2683
703	6359	2673
704	6367	2664
705	6375	2654
706	6383	2645
707	6391	2636
708	6399	2626
709	6408	2617
710	6416	2608
711	6425	2598
712	6435	2590
713	6444	2581
714	6452	2571
715	6460	2562
716	6468	2553
717	6480	2545
718	6489	2536
719	6497	2526
720	6505	2517
721	6513	2508
722	6522	2498
723	6530	2489
724	6538	2480
725	6547	2471
726	6555	2461
727	6563	2452
728	6571	2443
729	6580	2433
730	6588	2424
731	6597	2415
732	6605	2406
733	6613	2396
734	6621	2387
735	6630	2378
736	6638	2368
737	6649	2360
738	6658	2351
739	6668	2342
740	6677	2333
741	6685	2324
742	6694	2315
743	6703	2306
744	6711	2297
745	6719	2287
746	6727	2278
747	6735	2269
748	6743	2259
749	6752	2250
750	6760	2241
751	6769	2232
752	6777	2223
753	6785	2213
754	6793	2204
755	6801	2195
756	6810	2186
757	6818	2176
758	6826	2167
759	6834	2158
760	6842	2149
761	6851	2139
762	6859	2130
763	6867	2121
764	6876	2112
765	6885	2103
766	6893	2094
767	6902	2085
768	6911	2076
769	6919	2066
770	6927	2057
771	6936	2048
772	6945	2039
773	6953	2030
774	6961	2021
775	6969	2011
776	6978	2002
777	6986	1993
778	6994	1984
779	7002	1975
780	7011	1965
781	7018	1956
782	7028	1947
783	7036	1938
784	7048	1930
785	7062	1922
786	7074	1914
787	7084	1906
788	7093	1897
789	7103	1888
790	7112	1879
791	7122	1870
792	7132	1861
793	7140	1852
794	7148	1843
795	7156	1834
796	7164	1824
797	7172	1815
798	7180	1806
799	7188	1797
800	7196	1787
801	7205	1778
802	7213	1769
803	7221	1760
804	7229	1751
805	7238	1742
806	7246	1732
807	7254	1723
808	7262	1714
809	7270	1705
810	7278	1696
811	7286	1687
812	7294	1677
813	7302	1668
814	7310	1659
815	7318	1650
816	7326	1641
817	7334	1631
818	7343	1622
819	7351	1613
820	7359	1604
821	7367	1595
822	7375	1586
823	7383	1577
824	7391	1567
825	7399	1558
826	7408	1549
827	7416	1540
828	7425	1531
829	7433	1522
830	7442	1513
831	7450	1504
832	7457	1495
833	7466	1486
834	7474	1476
835	7482	1467
836	7490	1458
837	7498	1449
838	7506	1440
839	7514	1431
840	7523	1422
841	7531	1413
842	7540	1404
843	7548	1395
844	7556	1386
845	7564	1376
846	7572	1367
847	7580	1358
848	7589	1349
849	7597	1340
850	7604	1331
851	7613	1322
852	7621	1313
853	7629	1304
854	7637	1295
855	7646	1286
856	7654	1277
857	7664	1268
858	7673	1259
859	7680	1250
860	7689	1241
861	7697	1232
862	7705	1223
863	7713	1214
864	7721	1205
865	7729	1195
866	7737	1186
867	7745	1177
868	7753	1168
869	7761	1159
870	7769	1150
871	7777	1141
872	7787	1132
873	7794	1123
874	7803	1114
875	7811	1105
876	7819	1096
877	7827	1087
878	7835	1078
879	7843	1069
880	7853	1060
881	7861	1051
882	7869	1042
883	7878	1033
884	7886	1024
885	7895	1015
886	7903	1006
887	7911	997
888	7919	988
889	7927	979
890	7935	970
891	7943	961
892	7951	952
893	7959	943
894	7967	934
895	7975	925
896	7983	916
897	7991	907
898	7999	898
899	8007	889
900	8015	880
901	8023	871
902	8031	862
903	8039	853
904	8047	844
905	8055	835
906	8064	826
907	8073	818
908	8082	809
909	8091	800
910	8100	791
911	8110	782
912	8119	773
913	8128	764
914	8137	755
915	8147	747
916	8156	738
917	8165	729
918	8174	720
919	8183	711
920	8192	702
921	8200	693
922	8209	684
923	8217	675
924	8225	666
925	8233	657
926	8241	649
927	8249	640
928	8257	631
929	8265	622
930	8273	613
931	8281	604
932	8289	595
933	8297	586
934	8305	577
935	8313	568
936	8321	559
937	8329	550
938	8337	541
939	8345	532
940	8354	523
941	8362	514
942	8370	505
943	8378	497
944	8386	488
945	8394	479
946	8402	470
947	8410	461
948	8418	452
949	8426	443
950	8434	434
951	8442	425
952	8450	416
953	8458	407
954	8466	398
955	8474	390
956	8482	381
957	8490	372
958	8499	363
959	8509	354
960	8519	345
961	8528	336
962	8537	328
963	8545	319
964	8553	310
965	8561	301
966	8569	292
967	8578	283
968	8585	274
969	8593	265
970	8601	256
971	8610	248
972	8618	239
973	8626	230
974	8634	221
975	8642	212
976	8650	203
977	8658	194
978	8668	185
979	8677	177
980	8685	168
981	8693	159
982	8701	150
983	8709	141
984	8717	132
985	8725	123
986	8733	115
987	8741	106
988	8749	97
989	8757	88
990	8765	79
991	8774	70
992	8781	61
993	8790	53
994	8798	44
995	8806	35
996	8814	26
997	8822	17
998	8831	8
999	8839	0
